epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2375.03,1.72238,2.4942,1.87751,0.46869,0.43808,0.42437,0.19065,1.79281,2.35988,1.91276,0.000665057,0.000665057,0.000665057
56,2955.53,1.7302,2.47231,1.86957,0.50334,0.41998,0.43422,0.196,1.79585,2.2995,1.89929,0.000650909,0.000650909,0.000650909
57,3536.96,1.7128,2.47014,1.84689,0.50657,0.42834,0.42834,0.18785,1.79058,2.40456,1.90737,0.000636762,0.000636762,0.000636762
58,4116.26,1.70066,2.49549,1.86909,0.50976,0.41063,0.435,0.19373,1.80294,2.32113,1.91146,0.000622615,0.000622615,0.000622615
59,4695.51,1.70673,2.46508,1.86613,0.47363,0.43777,0.41581,0.1841,1.75806,2.33441,1.88206,0.000608468,0.000608468,0.000608468
60,5276.38,1.70162,2.46832,1.85692,0.50244,0.35006,0.40825,0.1881,1.74234,2.37413,1.86392,0.000594321,0.000594321,0.000594321
61,5860.1,1.66754,2.38984,1.85557,0.49059,0.45787,0.44492,0.2034,1.74,2.24513,1.86221,0.000580174,0.000580174,0.000580174
62,6454.21,1.67676,2.35766,1.8293,0.4454,0.44607,0.4378,0.20555,1.74411,2.27278,1.84915,0.000566027,0.000566027,0.000566027
63,7040.82,1.68775,2.42682,1.82978,0.59645,0.41432,0.46281,0.20356,1.76256,2.25638,1.88993,0.00055188,0.00055188,0.00055188
64,7620.4,1.69102,2.42709,1.84947,0.49719,0.46352,0.45197,0.20048,1.75027,2.20568,1.85333,0.000537733,0.000537733,0.000537733
65,8195.99,1.64473,2.35611,1.81687,0.48232,0.48785,0.44628,0.2079,1.74497,2.24066,1.88786,0.000523586,0.000523586,0.000523586
66,8776.93,1.67374,2.37465,1.83086,0.5108,0.44623,0.45384,0.20576,1.77322,2.26077,1.87328,0.000509438,0.000509438,0.000509438
67,9352.93,1.63774,2.32961,1.81441,0.51913,0.45473,0.46183,0.21705,1.73325,2.2488,1.88565,0.000495291,0.000495291,0.000495291
68,9928.67,1.64721,2.36554,1.8179,0.47079,0.44023,0.44664,0.2087,1.71414,2.25987,1.84915,0.000481144,0.000481144,0.000481144
